Symbol,Date,Open,High,Low,Close,Percent Change,Volume
AKPL,28/09/2021,524,544,480.3,486,-7.25,249406
AKPL,27/09/2021,564,585,522,524,-5.24,207373
AKPL,26/09/2021,590,593,550,553,-6.46,200221
AKPL,23/09/2021,621.1,621.1,590,591.2,-2.92,147108
AKPL,22/09/2021,576.1,612,576,609,7.81,186345
AKPL,21/09/2021,550,588,510,564.9,2.71,272544
AKPL,20/09/2021,599,600,540,550,-8.18,265478
AKPL,16/09/2021,615,620,591,599,-4.5,263033
AKPL,15/09/2021,640,644,625.5,627.2,-2,179012
AKPL,14/09/2021,662,662,630.5,640,-1.48,138028
AKPL,13/09/2021,668.7,695.6,643,649.6,-0.92,303844
AKPL,12/9/2021,607.9,655.6,607.9,655.6,10,286139
AKPL,9/9/2021,589,606,578.2,596,2.92,192883
AKPL,8/9/2021,600,603,577.3,579.1,-3.47,109071
AKPL,7/9/2021,605,628,572,599.9,0.84,227199
AKPL,6/9/2021,540,594.9,530,594.9,9.98,276714
AKPL,5/9/2021,589,590,540.9,540.9,-10,326478
AKPL,2/9/2021,645,652,592,601,-6.09,289654
AKPL,1/9/2021,659,669,633.1,640,-2.88,181760
AKPL,31/08/2021,694,694.6,658,659,-3.23,341688
AKPL,29/08/2021,843.5,860,793.1,797,-3.63,1069649
AKPL,26/08/2021,795,850,788,827,4.83,551272
AKPL,25/08/2021,777,821,745,788.9,1.47,624251
AKPL,24/08/2021,814,823,775.1,777.5,-6.38,905177
AKPL,19/08/2021,818.2,882.4,805,830.5,3.53,1382304
AKPL,18/08/2021,743.8,802.2,743.8,802.2,10,125488
AKPL,17/08/2021,675,729.3,666,729.3,10,843940
AKPL,16/08/2021,668,672,643,663,1.22,291545
AKPL,15/08/2021,674.3,679,635,655,-4.8,720863
AKPL,12/8/2021,698.7,715,681,688,0.44,579592
AKPL,11/8/2021,630,686,630,685,9.78,840637
AKPL,10/8/2021,635,645,618,624,-1.11,660814
AKPL,9/8/2021,631,637,617.1,631,1.94,507218
AKPL,8/8/2021,598,626,585,619,4.31,534026
AKPL,5/8/2021,627,627,592,593.4,-3.51,474739
AKPL,4/8/2021,600,621,591,615,4.08,681327
AKPL,3/8/2021,595,595,575,590.9,1.18,319578
AKPL,2/8/2021,592.6,619,576.3,584,0.52,638039
AKPL,1/8/2021,566,586.5,566,581,3.2,325963
AKPL,29/07/2021,570,575,555,563,-0.35,280372
AKPL,28/07/2021,596.7,609,565,565,-3.42,446786
AKPL,27/07/2021,560,596,558,585,4.9,457237
AKPL,26/07/2021,581,586,556,557.7,-2.16,340135
AKPL,25/07/2021,524,576.4,520,570,8.78,628087
AKPL,22/07/2021,543.6,543.6,518,524,-1.69,418366
AKPL,20/07/2021,529.3,544,511,533,2.7,730416
AKPL,19/07/2021,500,521,489,519,5.7,537864
AKPL,18/07/2021,483,499,483,491,3.59,253647
AKPL,15/07/2021,470,487,460,474,3.49,284343
AKPL,14/07/2021,457,458,447,458,1.78,86836
AKPL,13/07/2021,471,471,441,450,0.22,100089
AKPL,12/7/2021,465,469,437,449,-1.54,204397
AKPL,11/7/2021,435,457,435,456,5.31,193425
AKPL,8/7/2021,428,435,425,433,1.41,87975
AKPL,7/7/2021,401,431,401,427,1.18,105707
AKPL,6/7/2021,427,438,421,422,0,64447
AKPL,5/7/2021,435,435,421,422,-1.17,66851
AKPL,4/7/2021,439,440,426,427,-1.39,96041
AKPL,1/7/2021,430,440,425,433,1.88,189336
AKPL,30/06/2021,444,444,414,425,0.47,161003
AKPL,29/06/2021,432,448,421,423,-2.53,138501
AKPL,28/06/2021,448,448,433,434,-1.36,115388
AKPL,27/06/2021,445,453,436,440,0.92,143558
AKPL,24/06/2021,445,455,425,436,-0.23,184146
AKPL,23/06/2021,469,475,437,437,-5,201232
AKPL,22/06/2021,435,462,414,460,7.48,328726
AKPL,21/06/2021,470,470,427,428,-5.31,341219
AKPL,20/06/2021,478,481,441,452,-4.64,325637
AKPL,17/06/2021,475,490,460,474,-0.21,284274
AKPL,16/06/2021,471,510,460,475,-4.04,512685
AKPL,15/06/2021,514,517,493,495,-3.7,525578
AKPL,14/06/2021,553,553,503,514,-2.47,772074
AKPL,13/06/2021,505,530,493,527,7.55,790346
AKPL,10/6/2021,487,508,463,490,5.6,606929
AKPL,9/6/2021,458,476,445,464,0.03,510093
AKPL,8/6/2021,477,477,452,452,-0.66,476407
AKPL,7/6/2021,438,457,435,455,4.84,392597
AKPL,6/6/2021,440,441,424,434,-1.14,349036
AKPL,3/6/2021,452,464,435,439,-2.88,333442
AKPL,2/6/2021,456,459,430,452,3.91,327969
AKPL,1/6/2021,415,441,415,435,1.87,366669
AKPL,31/05/2021,431,470,421,427,-5.74,606893
AKPL,30/05/2021,486,486,443,453,-2.16,1012079
AKPL,27/05/2021,415,463,412,463,9.98,836448
AKPL,25/05/2021,400,424,390,421,7.95,825687
AKPL,24/05/2021,390,397,385,390,0.26,530132
AKPL,23/05/2021,362,391,361,389,2.91,397528
AKPL,20/05/2021,377,382,373,378,-0.53,310631
AKPL,19/05/2021,412,412,376,380,-3.31,483778
AKPL,18/05/2021,397,402,380,393,3.69,799163
AKPL,17/05/2021,369,380,365,379,4.12,668227
AKPL,16/05/2021,380,380,362,364,0.55,495370
AKPL,13/05/2021,355,365,352,362,2.55,599643
AKPL,12/5/2021,342,354,342,353,2.02,220023
AKPL,11/5/2021,347,349,343,346,0.58,146524
AKPL,10/5/2021,342,350,341,344,0.58,113699
AKPL,9/5/2021,350,353,342,342,-1.72,163371
AKPL,6/5/2021,360,360,345,348,-2.25,329436
AKPL,5/5/2021,351,361,350,356,1.42,384481
AKPL,4/5/2021,335,358,335,351,3.24,624687
AKPL,3/5/2021,325,349,325,340,-0.58,161883
AKPL,2/5/2021,344,348,338,342,0.59,186531
AKPL,29/04/2021,352,352,336,340,1.19,191298
AKPL,28/04/2021,345,345,333,336,-1.75,72840
AKPL,27/04/2021,325,345,323,342,5.23,192255
AKPL,26/04/2021,337,340,324,325,-3.85,226564
AKPL,25/04/2021,354,354,334,338,-3.15,247852
AKPL,22/04/2021,356,356,345,349,-0.29,185879
AKPL,21/04/2021,365,366,349,350,-2.78,323315
AKPL,20/04/2021,336,363,336,360,5.57,404412
AKPL,19/04/2021,352,355,339,341,-2.85,289675
AKPL,18/04/2021,340,360,339,351,4.46,761142
AKPL,15/04/2021,351,351,331,336,0.3,184237
AKPL,13/04/2021,335,337,330,335,0.6,116361
AKPL,12/4/2021,320,343,320,333,0.91,116158
AKPL,8/4/2021,336,339,330,330,-0.9,93817
AKPL,7/4/2021,350,350,332,333,-2.06,203537
AKPL,6/4/2021,332,346,328,340,1.8,364925
AKPL,5/4/2021,337,340,330,334,-0.6,148903
AKPL,4/4/2021,340,344,334,336,-0.3,118741
AKPL,1/4/2021,326,346,326,337,2.12,216523
AKPL,31/03/2021,335,336,329,330,0.3,83567
AKPL,30/03/2021,325,332,325,329,0,63744
AKPL,29/03/2021,330,332,325,329,-1.79,59879
AKPL,25/03/2021,345,346,333,335,-2.62,201670
AKPL,24/03/2021,338,345,332,344,2.99,294418
AKPL,23/03/2021,305,339,305,334,4.05,314289
AKPL,22/03/2021,315,325,310,321,1.58,131308
AKPL,21/03/2021,332,332,314,316,-0.32,60649
AKPL,18/03/2021,312,317,309,317,2.26,260206
AKPL,17/03/2021,308,314,308,310,0.32,49039
AKPL,16/03/2021,305,315,305,309,0,47327
AKPL,15/03/2021,313,318,307,309,-2.22,87792
AKPL,14/03/2021,320,323,310,316,-1.25,92310
AKPL,10/3/2021,319,324,317,320,0.95,52766
AKPL,9/3/2021,317,326,313,317,0,188870
AKPL,8/3/2021,330,330,314,317,-2.16,62313
AKPL,4/3/2021,300,326,300,324,6.58,115157
AKPL,3/3/2021,302,309,301,304,-0.33,111582
AKPL,2/3/2021,317,318,303,305,-3.48,113061
AKPL,1/3/2021,305,320,301,316,0,92277
AKPL,28/02/2021,338,338,304,309,-4.04,155933
AKPL,25/02/2021,341,341,318,322,0,110762
AKPL,24/02/2021,335,340,325,325,-1.22,101981
AKPL,23/02/2021,328,333,316,329,0,127744
AKPL,22/02/2021,334,345,328,329,-1.5,143616
